transaction_id,price,payment_date,customer_id
T0000005113,295000,2019-06-15 07:20:27,TS169261
T0000005114,50000,2019-06-15 07:35:47,HI599892
T0000005115,85000,2019-06-15 07:56:36,HI421757
T0000005116,50000,2019-06-15 08:40:55,OA386378
T0000005117,120000,2019-06-15 08:44:23,TS506913
T0000005118,210000,2019-06-15 10:14:11,HI754267
T0000005119,420000,2019-06-15 12:11:39,PL952460
T0000005120,210000,2019-06-15 12:25:34,IK855920
T0000005121,210000,2019-06-15 13:22:35,HD498491
T0000005122,210000,2019-06-15 13:29:29,GD086589
T0000005123,100000,2019-06-15 13:42:00,AS588076
T0000005124,180000,2019-06-15 13:50:28,HD500570
T0000005125,180000,2019-06-15 14:53:31,TS181580
T0000005126,180000,2019-06-15 16:16:44,IK092130
T0000005127,210000,2019-06-15 18:23:35,IK890445
T0000005128,120000,2019-06-15 18:50:48,HD391766
T0000005129,210000,2019-06-15 19:07:50,PL842727
T0000005130,210000,2019-06-15 19:31:42,GD770166
T0000005131,210000,2019-06-15 19:37:54,HD068817
T0000005132,85000,2019-06-15 21:00:42,HD155154
T0000005133,210000,2019-06-15 22:13:18,HI934540
T0000005134,180000,2019-06-15 22:30:40,OA676083
T0000005135,50000,2019-06-15 22:39:13,HD171678
T0000005136,120000,2019-06-15 23:33:38,HI559946
T0000005137,120000,2019-06-16 00:39:57,PL353504
T0000005138,85000,2019-06-16 01:25:35,OA829372
T0000005139,210000,2019-06-16 02:42:55,OA680638
T0000005140,120000,2019-06-16 02:48:45,HI871259
T0000005141,210000,2019-06-16 03:06:38,HD657925
T0000005142,210000,2019-06-16 03:12:11,TS282800
T0000005143,150000,2019-06-16 03:47:44,TS267517
T0000005144,50000,2019-06-16 03:52:33,AS644996
T0000005145,210000,2019-06-16 04:37:27,HD904794
T0000005146,260000,2019-06-16 05:01:29,HI169357
T0000005147,210000,2019-06-16 05:31:44,OA514351
T0000005148,85000,2019-06-16 07:20:07,HI658527
T0000005149,85000,2019-06-16 07:32:16,PL931945
T0000005150,255000,2019-06-16 07:54:01,IK975905
T0000005151,180000,2019-06-16 09:18:08,GD688950
T0000005152,180000,2019-06-16 10:27:31,PL344424
T0000005153,180000,2019-06-16 11:15:30,TS797358
T0000005154,120000,2019-06-16 12:04:29,HD028682
T0000005155,360000,2019-06-16 12:04:47,IK596141
T0000005156,85000,2019-06-16 12:05:31,GD094728
T0000005157,210000,2019-06-16 13:01:26,AS237205
T0000005158,85000,2019-06-16 13:03:33,AS335390
T0000005159,85000,2019-06-16 13:13:27,TS186877
T0000005160,85000,2019-06-16 13:16:43,AS352269
T0000005161,210000,2019-06-16 14:39:53,HI078880
T0000005162,50000,2019-06-16 15:21:51,AS373785
T0000005163,150000,2019-06-16 17:04:08,TS115038
T0000005164,210000,2019-06-16 18:02:44,PL594922
T0000005165,85000,2019-06-16 18:16:18,IK774332
T0000005166,50000,2019-06-16 18:41:29,TS995299
T0000005167,210000,2019-06-16 18:56:34,HD012845
T0000005168,50000,2019-06-16 19:16:01,HI815924
T0000005169,260000,2019-06-16 19:35:57,HI337854
T0000005170,180000,2019-06-16 19:50:09,AS946582
T0000005171,100000,2019-06-16 20:01:43,PL784647
T0000005172,50000,2019-06-16 20:51:22,OA707923
T0000005173,50000,2019-06-16 20:57:48,TS333942
T0000005174,85000,2019-06-16 21:27:26,AS972005
T0000005175,180000,2019-06-16 21:44:25,HD984838
T0000005176,210000,2019-06-16 22:47:52,IK013691
T0000005177,50000,2019-06-17 00:48:49,TS860353
T0000005178,200000,2019-06-17 00:57:53,GD727286
T0000005179,50000,2019-06-17 02:01:22,AS970810
T0000005180,210000,2019-06-17 02:08:14,TS399940
T0000005181,120000,2019-06-17 02:52:57,OA776184
T0000005182,210000,2019-06-17 03:12:55,PL163967
T0000005183,210000,2019-06-17 03:17:18,TS919144
T0000005184,50000,2019-06-17 03:25:40,TS731637
T0000005185,120000,2019-06-17 03:30:43,OA419926
T0000005186,85000,2019-06-17 04:04:15,AS194818
T0000005187,120000,2019-06-17 04:15:06,AS441031
T0000005188,150000,2019-06-17 04:26:57,HD940282
T0000005189,210000,2019-06-17 04:31:39,HI896550
T0000005190,210000,2019-06-17 05:37:45,GD968190
T0000005191,180000,2019-06-17 05:47:37,HD184011
T0000005192,50000,2019-06-17 06:45:25,HD184889
T0000005193,50000,2019-06-17 07:18:35,GD984713
T0000005194,170000,2019-06-17 07:21:47,OA459530
T0000005195,210000,2019-06-17 08:32:05,GD796301
T0000005196,85000,2019-06-17 08:49:29,PL333517
T0000005197,180000,2019-06-17 09:00:04,AS499352
T0000005198,180000,2019-06-17 09:10:40,OA765757
T0000005199,210000,2019-06-17 09:26:17,OA948852
T0000005200,100000,2019-06-17 09:55:36,OA476099
T0000005201,120000,2019-06-17 10:32:17,OA025439
T0000005202,85000,2019-06-17 10:49:33,PL174258
T0000005203,170000,2019-06-17 10:52:41,HI302835
T0000005204,120000,2019-06-17 13:24:56,GD155364
T0000005205,210000,2019-06-17 14:07:51,OA052506
T0000005206,100000,2019-06-17 14:24:24,IK200910
T0000005207,210000,2019-06-17 15:36:21,TS333555
T0000005208,50000,2019-06-17 17:16:23,TS957381
T0000005209,50000,2019-06-17 17:20:37,HI444425
T0000005210,120000,2019-06-17 20:02:11,GD083655
T0000005211,180000,2019-06-17 21:07:26,HD104614
T0000005212,100000,2019-06-17 22:59:13,IK071733
T0000005213,180000,2019-06-18 00:20:22,IK653458
T0000005214,390000,2019-06-18 00:37:14,OA969891
T0000005215,50000,2019-06-18 01:34:58,OA510985
T0000005216,50000,2019-06-18 03:27:56,PL928334
T0000005217,120000,2019-06-18 04:00:46,OA168067
T0000005218,85000,2019-06-18 04:57:45,PL697195
T0000005219,295000,2019-06-18 05:02:31,GD640316
T0000005220,100000,2019-06-18 05:28:43,HD797921
T0000005221,210000,2019-06-18 05:42:07,TS020727
T0000005222,180000,2019-06-18 05:50:07,AS671429
T0000005223,210000,2019-06-18 06:08:11,AS929514
T0000005224,210000,2019-06-18 06:44:31,HI048967
T0000005225,120000,2019-06-18 07:02:25,AS222240
T0000005226,120000,2019-06-18 07:09:32,HD335580
T0000005227,50000,2019-06-18 10:32:16,TS508850
T0000005228,50000,2019-06-18 12:36:55,PL470792
T0000005229,170000,2019-06-18 13:11:05,PL102815
T0000005230,330000,2019-06-18 13:11:43,HI846961
T0000005231,100000,2019-06-18 13:13:06,HI169357
T0000005232,210000,2019-06-18 13:27:06,HD417609
T0000005233,210000,2019-06-18 14:15:49,GD163914
T0000005234,180000,2019-06-18 14:25:19,AS589687
T0000005235,120000,2019-06-18 14:54:37,HD156305
T0000005236,50000,2019-06-18 15:21:54,TS121904
T0000005237,210000,2019-06-18 15:24:24,PL287707
T0000005238,120000,2019-06-18 15:51:41,GD643063
T0000005239,100000,2019-06-18 16:01:53,HD502657
T0000005240,50000,2019-06-18 16:10:36,IK322778
T0000005241,180000,2019-06-18 17:00:49,TS972175
T0000005242,85000,2019-06-18 18:50:00,TS369665
T0000005243,210000,2019-06-18 18:56:04,IK250551
T0000005244,180000,2019-06-18 18:59:08,HI265189
T0000005245,100000,2019-06-18 20:35:04,GD735013
T0000005246,50000,2019-06-18 21:04:10,AS460810
T0000005247,180000,2019-06-18 21:38:02,AS080039
T0000005248,50000,2019-06-18 21:39:37,PL028675
