연월,customer_id,count
201804,AS002855,4
201804,AS009013,2
201804,AS009373,3
201804,AS015315,6
201804,AS015739,7
201804,AS015746,4
201804,AS019860,6
201804,AS024181,4
201804,AS030404,1
201804,AS031206,4
201804,AS036678,7
201804,AS038564,6
201804,AS040841,8
201804,AS040860,6
201804,AS046594,9
201804,AS047907,3
201804,AS055659,7
201804,AS055680,3
201804,AS057808,8
201804,AS058623,6
201804,AS060041,7
201804,AS065870,6
201804,AS069821,5
201804,AS070625,6
201804,AS071660,8
201804,AS073168,8
201804,AS073285,7
201804,AS077151,5
201804,AS082596,7
201804,AS092144,6
201804,AS098763,8
201804,AS099118,5
201804,AS099984,4
201804,AS105107,6
201804,AS107662,7
201804,AS108195,4
201804,AS108507,4
201804,AS113826,4
201804,AS115107,2
201804,AS123220,6
201804,AS124354,3
201804,AS132988,6
201804,AS136184,9
201804,AS137764,4
201804,AS141460,5
201804,AS147168,1
201804,AS147485,3
201804,AS152185,3
201804,AS157629,3
201804,AS158438,5
201804,AS161071,8
201804,AS169823,3
201804,AS170379,9
201804,AS171842,5
201804,AS171994,5
201804,AS174345,3
201804,AS175707,8
201804,AS177253,4
201804,AS183155,3
201804,AS185951,10
201804,AS186727,6
201804,AS189336,7
201804,AS190883,7
201804,AS193568,5
201804,AS194595,5
201804,AS196653,5
201804,AS197200,8
201804,AS200286,10
201804,AS206541,1
201804,AS207011,6
201804,AS210846,6
201804,AS211705,6
201804,AS211927,3
201804,AS212221,7
201804,AS218636,4
201804,AS220894,7
201804,AS222240,8
201804,AS227898,5
201804,AS235724,9
201804,AS237205,8
201804,AS240190,4
201804,AS240586,7
201804,AS248090,6
201804,AS248948,7
201804,AS251112,3
201804,AS251169,7
201804,AS256239,6
201804,AS258098,3
201804,AS259792,4
201804,AS263080,4
201804,AS272193,9
201804,AS273414,8
201804,AS275166,2
201804,AS275287,6
201804,AS275753,4
201804,AS280744,4
201804,AS282618,7
201804,AS288339,5
201804,AS288569,9
201804,AS294655,7
201804,AS297966,6
201804,AS299544,2
201804,AS303294,4
201804,AS305652,10
201804,AS305860,3
201804,AS309101,1
201804,AS310564,1
201804,AS311628,5
201804,AS319907,9
201804,AS320552,5
201804,AS321794,9
201804,AS335390,5
201804,AS339451,4
201804,AS342526,5
201804,AS345469,7
201804,AS345508,5
201804,AS346579,3
201804,AS347661,2
201804,AS351574,3
201804,AS352209,4
201804,AS353422,8
201804,AS354246,8
201804,AS356812,8
201804,AS359364,1
201804,AS363699,3
201804,AS365290,6
201804,AS369194,8
201804,AS369418,6
201804,AS371310,1
201804,AS373785,1
201804,AS374280,8
201804,AS377637,9
201804,AS383234,4
201804,AS385315,6
201804,AS386696,3
201804,AS390441,6
201804,AS394423,6
201804,AS399435,4
201804,AS404195,7
201804,AS404579,7
201804,AS410205,2
201804,AS412668,7
201804,AS417309,1
201804,AS417696,4
201804,AS428439,2
201804,AS430089,6
201804,AS430563,5
201804,AS435092,3
201804,AS436928,2
201804,AS448355,2
201804,AS450151,9
201804,AS453084,8
201804,AS453157,2
201804,AS453778,5
201804,AS454149,4
201804,AS458614,7
201804,AS460177,2
201804,AS460655,4
201804,AS460810,5
201804,AS462796,7
201804,AS462883,6
201804,AS462973,8
201804,AS466656,8
201804,AS467237,7
201804,AS467683,4
201804,AS468297,4
201804,AS470817,5
201804,AS473535,5
201804,AS475839,5
201804,AS476267,6
201804,AS477871,1
201804,AS480037,2
201804,AS488509,6
201804,AS491316,4
201804,AS491747,10
201804,AS494168,12
201804,AS495117,6
201804,AS499352,7
201804,AS499893,4
201804,AS501123,7
201804,AS502510,8
201804,AS506797,7
201804,AS509237,9
201804,AS512827,4
201804,AS515526,6
201804,AS515541,9
201804,AS515861,3
201804,AS516140,6
201804,AS516396,7
201804,AS518169,6
201804,AS529972,6
201804,AS531034,9
201804,AS534058,3
201804,AS535481,4
201804,AS543483,1
201804,AS546422,8
201804,AS546865,6
201804,AS547635,10
201804,AS548544,8
201804,AS550302,8
201804,AS552198,6
201804,AS554975,6
201804,AS563124,5
201804,AS569518,9
201804,AS571298,5
201804,AS574816,4
201804,AS575508,4
201804,AS575700,3
201804,AS581751,8
201804,AS582110,1
201804,AS582607,4
201804,AS584189,7
201804,AS586641,3
201804,AS587750,5
201804,AS588076,6
201804,AS588186,5
201804,AS589687,8
201804,AS594062,4
201804,AS603613,3
201804,AS614406,6
201804,AS614421,7
201804,AS618299,7
201804,AS621407,6
201804,AS621552,4
201804,AS622023,9
201804,AS625761,7
201804,AS625883,3
201804,AS627304,10
201804,AS628460,1
201804,AS628722,9
201804,AS632327,8
201804,AS634661,3
201804,AS636570,8
201804,AS637476,4
201804,AS639549,8
201804,AS642796,5
201804,AS645809,8
201804,AS647421,2
201804,AS648913,8
201804,AS649439,6
201804,AS650043,7
201804,AS656522,5
201804,AS660812,6
201804,AS662285,7
201804,AS662863,5
201804,AS670699,8
201804,AS671429,4
201804,AS676181,4
201804,AS677229,3
201804,AS677821,6
201804,AS679641,5
201804,AS693220,4
201804,AS699883,9
201804,AS700549,1
201804,AS700935,8
201804,AS703258,7
201804,AS704643,4
201804,AS706877,9
201804,AS707671,5
201804,AS712913,2
201804,AS716291,7
201804,AS717316,2
201804,AS719871,10
201804,AS721170,7
201804,AS723178,1
201804,AS726272,9
201804,AS726714,4
201804,AS727718,6
201804,AS732240,2
201804,AS734592,8
201804,AS734767,4
201804,AS736672,4
201804,AS741333,7
201804,AS742617,2
201804,AS744154,8
201804,AS756169,6
201804,AS756586,5
201804,AS756694,1
201804,AS758226,6
201804,AS761330,7
201804,AS766856,7
201804,AS771185,6
201804,AS771307,7
201804,AS772036,8
201804,AS776002,5
201804,AS777651,3
201804,AS779956,5
201804,AS781999,9
201804,AS786819,4
201804,AS790905,3
201804,AS795406,3
201804,AS798945,6
201804,AS799981,8
201804,AS800531,7
201804,AS811755,6
201804,AS812685,5
201804,AS814944,2
201804,AS818410,4
201804,AS823436,10
201804,AS824458,5
201804,AS826583,2
201804,AS828426,1
201804,AS834214,3
201804,AS834706,5
201804,AS838065,8
201804,AS840069,9
201804,AS842977,3
201804,AS844339,4
201804,AS846781,5
201804,AS857207,6
201804,AS860362,9
201804,AS866446,5
201804,AS867281,4
201804,AS868124,6
201804,AS868530,5
201804,AS869895,4
201804,AS870817,5
201804,AS873051,6
201804,AS875048,5
201804,AS879331,7
201804,AS886138,8
201804,AS886872,8
201804,AS888896,3
201804,AS890023,3
201804,AS896608,4
201804,AS897421,9
201804,AS902294,7
201804,AS913753,2
201804,AS914290,4
201804,AS917021,3
201804,AS918302,6
201804,AS920111,10
201804,AS924898,9
201804,AS925243,1
201804,AS926099,4
201804,AS926104,3
201804,AS928923,5
201804,AS929382,1
201804,AS929514,9
201804,AS931323,2
201804,AS931712,4
201804,AS933597,4
201804,AS934534,4
201804,AS936602,5
201804,AS938269,3
201804,AS941998,8
201804,AS942939,4
201804,AS945488,6
201804,AS946582,2
201804,AS950313,4
201804,AS957024,4
201804,AS961301,5
201804,AS963520,9
201804,AS969133,5
201804,AS970810,6
201804,AS977127,7
201804,AS978283,3
201804,AS980426,4
201804,AS981537,6
201804,AS984922,4
201804,AS988792,5
201804,AS988921,4
201804,AS992593,8
201804,AS992895,9
201804,AS994696,7
201804,AS995937,8
201804,AS997107,9
201804,AS998566,7
201804,GD001473,7
201804,GD001777,3
201804,GD004422,4
201804,GD009242,7
201804,GD010455,7
201804,GD012037,8
201804,GD020270,3
201804,GD022268,1
201804,GD024299,6
201804,GD025393,5
201804,GD029159,3
201804,GD032887,9
201804,GD038969,6
201804,GD039425,7
201804,GD040768,5
201804,GD045563,6
201804,GD049091,3
201804,GD057803,3
201804,GD059086,6
201804,GD064521,7
201804,GD065188,7
201804,GD067591,6
201804,GD069878,5
201804,GD070247,5
201804,GD080608,6
201804,GD081993,3
201804,GD082396,6
201804,GD083655,5
201804,GD084870,3
201804,GD085038,6
201804,GD086589,2
201804,GD086932,3
201804,GD087620,5
201804,GD094886,5
201804,GD095067,2
201804,GD098851,10
201804,GD099906,7
201804,GD100850,6
201804,GD106268,5
201804,GD106824,3
201804,GD109842,7
201804,GD110372,8
201804,GD112262,10
201804,GD114852,9
201804,GD115359,5
201804,GD115456,7
201804,GD125079,7
201804,GD126264,3
201804,GD126553,4
201804,GD134164,6
201804,GD138948,5
201804,GD139130,7
201804,GD141355,5
201804,GD141776,6
201804,GD149816,4
201804,GD151877,8
201804,GD152639,3
201804,GD155364,4
201804,GD161261,6
201804,GD163149,5
201804,GD163914,4
201804,GD164396,6
201804,GD165203,8
201804,GD171613,6
201804,GD172092,9
201804,GD172600,6
201804,GD173197,5
201804,GD174095,2
201804,GD174951,5
201804,GD176879,8
